BBL,Required to report automated water data from DEP? Y/N,Esmnt,Building Class ,Tax Class,Building Count,DOF Gross Square Footage,,,Zip Code,"Multiple Buildings less than 100,000 with one of the buildings on the tax lot greater than 25,000 GSF",Address
1000890003,YES, ,H2,4,1,"119,889",,,10038,,26 ANN STREET
1000890012,YES, ,O4,4,1,"756,138",,,10038,,222 BROADWAY
1000900001,NO, ,K2,4,1,"42,200",,,10038,,1 PARK ROW
1000900017,YES, ,D7,2,1,"182,499",,,10038,,113 NASSAU STREET
1000907501,NO, ,R0,2,1,"420,470",,,10038,,15 PARK ROW
1000907503,YES, ,R0,2,2,"313,980",,,10038,,5 BEEKMAN STREET
1000907504,YES, ,R0,2,1,"363,478",,,10038,,25 PARK ROW
1000907505,NO,,R0,2,1,"94,941",,,10038,,33 PARK ROW
1000910013,YES, ,O5,4,1,"38,320",,,10038,,129 FULTON STREET
1000917501,YES, ,R0,2,1,"31,965",,,10038,,119 FULTON STREET
1000917502,YES, ,R0,2,1,"221,213",,,10038,,111 FULTON STREET
1000917503,YES, ,R0,2,1,"28,729",,,10038,,42 ANN STREET
1000920003,YES, ,D5,2,1,"31,073",,,10038,,167 WILLIAM STREET
1000920010,NO, ,G1,4,1,"32,475",,,10038,,57 ANN STREET
1000920014,YES, ,H2,4,1,"56,790",,,10038,,49 ANN STREET
1000920024,NO, ,O3,4,2,"109,173",,,10038,,116 NASSAU STREET
1000920032,YES, ,O5,4,1,"25,039",,,10038,,19 BEEKMAN STREET
1000920034,YES, ,G1,4,1,"36,246",,,10038,,25 BEEKMAN STREET
1000927501,YES, ,R0,2,1,"167,396",,,10038,,33 BEEKMAN STREET
1000927502,NO, ,R0,2,1,"177,433",,,10038,,161 WILLIAM
1000930001,YES, ,O4,4,1,"463,679",,,10038,,81 FULTON STREET
1000930034,YES, ,D9,2,1,"79,079",,,10038,,57 BEEKMAN STREET
1000937501,YES, ,R0,2,1,"225,368",,,10038,,156 WILLIAM STREET
1000940001,YES, ,D4,2,10,"2,163,399",,,10038,,80 GOLD STREET
1000940025,NO,,O3,4,1,"655,775",,,10038,,100 GOLD STREET
1000957501,NO, ,R0,2,1,"43,070",,,10038,,117 BEEKMAN STREET
1000960001,YES,,K6,4,1,"128,123",,,10038,,11 FULTON STREET
1000960005,YES,,K4,4,12,"80,000",,,10038,,207 FRONT STREET
1000960012,YES,,K4,4,1,"11,500",,,10038,,201 FRONT STREET
1000970010,YES, ,D7,2,1,"27,698",,,10038,,156 BEEKMAN STREET
1000970018,NO, ,D7,2,1,"40,000",,,10038,,213 FRONT STREET
1000977503,NO, ,R0,2,1,"33,145",,,10038,,220 FRONT STREET
1000977505,NO, ,R0,2,1,"31,844",,,10038,,241 WATER STREET
1001000001,NO, ,I1,4,1,"301,941",,,10038,,52 BEEKMAN STREET
1001000026,YES, ,D4,2,1,"79,422",,,10038,,138 NASSAU STREET
1001007501,YES, ,R0,2,1,"194,294",,,10038,,150 NASSAU STREET
1001007502,YES, ,R0,2,1,"1,040,589",,,10038,,8 SPRUCE STREET
1001010001,YES, ,D4,2,1,"111,685",,,10038,,36 PARK ROW
1001010002,YES, ,W6,4,1,"125,840",,,10038,,39 PARK ROW
1001020001,YES, ,W6,4,1,"526,781",,,10038,,154 NASSAU STREET
1001060017,YES, ,H3,4,1,"27,356",,,10038,,320 PEARL STREET
1001067502,YES, ,R0,2,1,"37,646",,,10038,,324 PEARL STREET
1001067504,NO, ,R0,2,1,"40,203",,,10038,,264 WATER STREET
1001060009,YES,,W1,4,1,"112,362",,,10038,,1 PECK SLIP
1001070028,YES, ,D6,2,1,"31,715",,,10038,,254 FRONT STREET
1001070038,YES, ,HB,4,1,"39,747",,,10038,,29 PECK SLIP
1001110100,YES, ,D6,2,12,"1,264,820",,,10038,,20 MADISON STREET
1001110160,NO,,W1,4,2,"111,673",,,10038,,86 CATHERINE STREET
1001110150,NO,,W1,4,1,"115,659",,,10038,,78 CATHERINE STREET
1001137501,YES, ,R0,2,1,"822,318",,,10038,,375 PEARL STREET
1001130100,YES,,W1,4,1,"305,000",,,10038,,411 PEARL STREET
1001170001,NO, ,D4,2,3,"515,425",,,10038,,185 PARK ROW
1001190001,NO,,O6,4,1,"1,000,518",,,10038,,1 POLICE PLAZA
1001210001,YES,,O4,4,1,"1,056,600",,,10007,,1 CENTRE STREET
1001220001,NO,,O2,4,2,"144,016",,,10007,,52 CHAMBERS STREET
1001237501,YES, ,R0,2,1,"1,008,544",,,10279,,233 BROADWAY
1001237502,YES, ,R0,2,2,"715,320",,,10007,,30 PARK PLACE
1001240004,NO, ,O6,4,1,"205,000",,,10007,,11 PARK PLACE
1001240008,YES, ,D6,2,1,"46,000",,,10007,,19 PARK PLACE
1001240011,NO, ,O5,4,1,"26,705",,,10007,,25 PARK PLACE
1001240012,NO, ,O5,4,1,"34,456",,,10007,,111 CHURCH STREET
1001247502,NO, ,R0,2,1,"596,389",,,10007,,250 BROADWAY
1001250020,YES, ,O4,4,1,"932,587",,,10007,,50 PARK PLACE
1001260008,NO, ,D8,2,1,"163,340",,,10007,,43 PARK PLACE
1001260013,YES, ,D5,2,1,"138,600",,,10007,,53 PARK PLACE
1001260027,NO, ,D5,2,1,"620,552",,,10007,,120 CHURCH STREET
1001270018,NO, ,O6,4,1,"550,000",,,10007,,255 GREENWICH STREET
1001270001,YES,,W5,4,1,"331,000",,,10007,,30 WEST BROADWAY
1001280002,YES, ,O4,4,1,"1,133,549",,,10007,,101 BARCLAY STREET
1001280026,NO, ,O6,4,1,"258,000",,,10007,,125 BARCLAY STREET
1001327501,YES, ,R0,2,2,"274,175",,,10007,,275 GREENWICH STREET
1001327503,NO, ,R0,2,1,"60,415",,,10007,,71 MURRAY STREET
1001337504,YES, ,R0,2,1,"26,620",,,10007,,37 MURRAY STREET
1001337510,YES, ,R0,2,1,"35,377",,,10007,,55 WARREN STREET
1001337511,YES, ,R0,2,1,"49,858",,,10007,,37 WARREN STREET
1001340011,NO, ,D6,2,1,"30,999",,,10007,,33 WARREN STREET
