BBL ,Boro,Block,Lot,Last Block Digit,E,BC,TC,Building Count,DOF Gross Square Footage ,Street Number ,Street Name ,Borough ,Zip Code,NYCHA ,"Multiple Buildings less than 100,000 with one of the buildings on the tax lot greater than 25,000 GSF",Full Address
4005680012,4,568,12,8, ,D9,2,1,"202,800",31-41,23RD ST.,Queens ,11106,,,31-41 23RD ST.
4005690017,4,569,17,9, ,D1,2,1,"83,020",23-11,31ST RD.,Queens ,11106,,,23-11 31ST RD.
4005710001,4,571,1,1, ,D1,2,1,"82,637",30-60,CRESCENT ST.,Queens ,11102,,,30-60 CRESCENT ST.
4005717501,4,571,7501,1, ,R0,2,1,"91,991",23-22,30TH RD.,Queens ,11102,,,23-22 30TH RD.
4005760012,4,576,12,6, ,I1,4,2,"217,951",25-10,30TH AVE.,Queens ,11102,,,25-10 30TH AVE.
4005760036,4,576,36,6, ,D1,2,1,"50,850",27-10,30TH AVE.,Queens ,11102,,,27-10 30TH AVE.
4005770019,4,577,19,7, ,C1,2,1,"53,796",30-49,CRESCENT ST.,Queens ,11102,,,30-49 CRESCENT ST.
4005770023,4,577,23,7, ,D1,2,1,"114,000",25-10,30TH RD.,Queens ,11102,,,25-10 30TH RD.
4005770056,4,577,56,7, ,D1,2,1,"55,375",30-60,29TH ST.,Queens ,11102,,,30-60 29TH ST.
4005777501,4,577,7501,7, ,R0,2,1,"102,664",30-44,29TH ST.,Queens ,11102,,,30-44 29TH ST.
4005780013,4,578,13,8, ,D1,2,1,"73,600",30-91,CRESCENT ST.,Queens ,11102,,,30-91 CRESCENT ST.
4005790018,4,579,18,9, ,D4,2,1,"92,250",31-85,CRESCENT ST.,Queens ,11106,,,31-85 CRESCENT ST.
4005790036,4,579,36,9, ,D1,2,1,"100,400",31-35,CRESCENT ST.,Queens ,11106,,,31-35 CRESCENT ST.
4005790055,4,579,55,9, ,D4,2,1,"100,000",25-40,31ST AVE.,Queens ,11106,,,25-40 31ST AVE.
4005790082,4,579,82,9, ,D1,2,1,"85,422",31-62,29TH ST.,Queens ,11106,,,31-62 29TH ST.
4005790087,4,579,87,9, ,D1,2,1,"85,422",31-74,29TH ST.,Queens ,11106,,,31-74 29TH ST.
4005797502,4,579,7502,9, ,R0,2,1,"62,640",25-10,31ST AVE.,Queens ,11106,,,25-10 31ST AVE.
4005810033,4,581,33,1, ,D1,2,1,"76,956",33-43,CRESCENT ST.,Queens ,11106,,,33-43 CRESCENT ST.
4005830001,4,583,1,3, ,D1,2,1,"51,930",34-50,35 AVENUE,Queens ,11106,,,34-50 35 AVENUE
4005830011,4,583,11,3, ,D1,2,1,"103,850",34-43,CRESCENT ST.,Queens ,11106,,,34-43 CRESCENT ST.
4005840001,4,584,1,4, ,D1,2,1,"58,200",34-50,29TH ST.,Queens ,11106,,,34-50 29TH ST.
4005850017,4,585,17,5, ,D1,2,1,"61,500",34-19,29TH ST.,Queens ,11106,,,34-19 29TH ST.
4005850035,4,585,35,5, ,D1,2,1,"62,640",34-20,30TH ST.,Queens ,11106,,,34-20 30TH ST.
4005867501,4,586,7501,6, ,R0,2,1,"89,254",29-10,BROADWAY,Queens ,11106,,,29-10 BROADWAY
4005870018,4,587,18,7, ,C1,2,1,"58,000",32-35,30TH ST.,Queens ,11106,,,32-35 30TH ST.
4005870034,4,587,34,7, ,C7,2,1,"64,896",30-02,BROADWAY,Queens ,11106,,,30-02 BROADWAY
4005897501,4,589,7501,9, ,R0,2,1,"67,219",31-72,31ST ST.,Queens ,11106,,,31-72 31ST ST.
4005970001,4,597,1,7, ,D7,2,1,"103,000",26-80,30TH ST.,Queens ,11102,,,26-80 30TH ST.
4005987501,4,598,7501,8, ,R0,2,1,"71,097",30-15,NEWTOWN AVENUE,Queens ,11102,,,30-15 NEWTOWN AVENUE
4006010001,4,601,1,1, ,O2,4,2,"193,034",36-46,33 STREET,Queens ,11106,,,36-46 33 STREET
4006060029,4,606,29,6, ,D1,2,1,"50,232",35-16,34TH ST.,Queens ,11106,,,35-16 34TH ST.
4006070018,4,607,18,7, ,D1,2,1,"62,790",34-17,30TH ST.,Queens ,11106,,,34-17 30TH ST.
4006127501,4,612,7501,2,,R0,2,1,"50,540",32-86,33RD ST.,Queens ,11106,,,32-86 33RD ST.
