BBL,ADDRESS,BOROUGH,ZIP CODE,LIST
1008920020,288 LEXINGTON AVENUE,MANHATTAN,10016,RENT
1008920049,156 EAST 37 STREET,MANHATTAN,10016,RENT
1008927501,150 EAST 37 STREET,MANHATTAN,10016,RENT
1008930014,117 EAST 37 STREET,MANHATTAN,10016,RENT
1008930041,560 3 AVENUE ,MANHATTAN,10016,RENT
1008930064,309 LEXINGTON AVENUE ,MANHATTAN,10016,RENT
1008930082,108 EAST 38 STREET,MANHATTAN,10016,RENT
1008940032,137 EAST 38 STREET,MANHATTAN,10016,RENT
1008947502,155 EAST 38 STREET,MANHATTAN,10016,RENT
1008947503,71 PARK AVENUE,MANHATTAN,10016,RENT
1008950082,114 EAST 40 STREET,MANHATTAN,10016,RENT
1008960032,230 EAST 15 STREET,MANHATTAN,10003,RENT
1008960039,210 EAST 15 STREET,MANHATTAN,10003,RENT
1008970001,147 3 AVENUE ,MANHATTAN,10003,RENT
1008970035,157 3 AVENUE,MANHATTAN,10003,RENT
1008977501,203 EAST 16 STREET,MANHATTAN,10003,RENT
1008980001,195 3 AVENUE,MANHATTAN,10003,RENT
1008990032,323 2 AVENUE,MANHATTAN,10003,RENT
1008990040,222 EAST 19 STREET,MANHATTAN,10003,RENT
1009037502,381 2 AVENUE ,MANHATTAN,10010,RENT
1009050006,205 EAST 24 STREET,MANHATTAN,10010,RENT
1009050026,421 2 AVENUE,MANHATTAN,10010,RENT
1009060001,201 EAST 25 STREET,MANHATTAN,10010,RENT
1009060024,441 2 AVENUE ,MANHATTAN,10010,RENT
1009060055,351 3 AVENUE,MANHATTAN,10010,RENT
1009070025,240 EAST 27 STREET,MANHATTAN,10016,RENT
1009070056,200 EAST 27 STREET,MANHATTAN,10016,RENT
1009080006,203 EAST 27 STREET,MANHATTAN,10016,RENT
1009087501,200 EAST 28 STREET,MANHATTAN,10016,RENT
1009090001,407 3 AVENUE,MANHATTAN,10016,RENT
1009090028,247 EAST 28 STREET,MANHATTAN,10016,RENT
1009100061,425 3 AVENUE,MANHATTAN,10016,RENT
1009110001,431 3 AVENUE,MANHATTAN,10016,RENT
1009120036,577 2 AVENUE,MANHATTAN,10016,RENT
1009130001,471 3 AVENUE,MANHATTAN,10016,RENT
1009130014,233 EAST 32 STREET,MANHATTAN,10016,RENT
1009130028,251 EAST 32 STREET,MANHATTAN,10016,RENT
1009150038,240 EAST 35 STREET,MANHATTAN,10016,RENT
1009160001,525 3 AVENUE ,MANHATTAN,10016,RENT
1009160009,211 EAST 35 STREET,MANHATTAN,10016,RENT
1009160023,245 EAST 35 STREET,MANHATTAN,10016,RENT
1009160041,236 EAST 36 STREET,MANHATTAN,10016,RENT
1009160055,210 EAST 36 STREET,MANHATTAN,10016,RENT
1009160061,537 3 AVENUE,MANHATTAN,10016,RENT
1009167501,649 2 AVENUE,MANHATTAN,10016,RENT
1009170017,225 EAST 36 STREET,MANHATTAN,10016,RENT
1009177501,543 3 AVENUE,MANHATTAN,10016,RENT
1009180007,207 EAST 37 STREET,MANHATTAN,10016,RENT
1009190034,713 2 AVENUE,MANHATTAN,10016,RENT
1009210019,333 EAST 14 STREET,MANHATTAN,10003,RENT
1009250060,304 EAST 20 STREET,MANHATTAN,10003,RENT
1009270001,362 2 AVENUE,MANHATTAN,10010,RENT
1009270009,311 EAST 21 STREET,MANHATTAN,10010,RENT
1009280001,382 2 AVENUE,MANHATTAN,10010,RENT
1009280009,321 EAST 22 STREET,MANHATTAN,10010,RENT
1009280040,320 EAST 23 STREET,MANHATTAN,10010,RENT
1009287502,310 EAST 23 STREET,MANHATTAN,10010,RENT
1009290050,310 EAST 24 STREET,MANHATTAN,10010,RENT
1009300001,422 2 AVENUE,MANHATTAN,10010,RENT
1009310001,444 2 AVENUE,MANHATTAN,10010,RENT/INCOME/ARTICLE
1009350005,530 2 AVENUE,MANHATTAN,10016,RENT
1009357501,350 EAST 30 STREET,MANHATTAN,10016,RENT
1009367501,333 EAST 30 STREET,MANHATTAN,10016,RENT
1009390001,604 2 AVENUE ,MANHATTAN,10016,RENT
1009390028,347 EAST 33 STREET,MANHATTAN,10016,RENT
1009400048,320 EAST 35 STREET,MANHATTAN,10016,RENT
1009407501,333 EAST 34 STREET,MANHATTAN,10016,RENT
1009430001,686 2 AVENUE ,MANHATTAN,10016,RENT
1009440001,310 EAST 38 STREET,MANHATTAN,10016,RENT
1009440010,330 EAST 39 STREET,MANHATTAN,10016,RENT
1009457501,300 EAST 40 STREET,MANHATTAN,10016,RENT
1009660001,400 EAST 35TH STREET ,MANHATTAN,10016,RENT
1009720001,240 1 AVENUE ,MANHATTAN,10009,RENT+INCOME
1009780001,342 1 AVENUE ,MANHATTAN,10009,RENT+INCOME
1009990054,150 WEST 47 STREET,MANHATTAN,10036,RENT
1010060063,162 WEST 54 STREET,MANHATTAN,10019,RENT
1010067501,825 7 AVENUE,MANHATTAN,10019,RENT
1010070001,841 7 AVENUE,MANHATTAN,10019,RENT
1010080029,1361 AVENUE OF THE AMERICAS,MANHATTAN,10019,RENT
1010087502,162 WEST 56 STREET,MANHATTAN,10019,RENT
1010100046,134 WEST 58 STREET,MANHATTAN,10019,RENT
1010100061,911 7 AVENUE,MANHATTAN,10019,RENT
1010107501,140 WEST 58 STREET,MANHATTAN,10019,RENT
1010107502,120 WEST 58 STREET,MANHATTAN,10019,RENT
1010107504,171 WEST 57 STREET,MANHATTAN,10019,RENT
1010110025,117 WEST 58 STREET,MANHATTAN,10019,RENT
1010110045,128 CENTRAL PARK SOUTH,MANHATTAN,10019,RENT
1010117503,116 CENTRAL PARK SOUTH,MANHATTAN,10019,RENT
1010210001,250 WEST 50 STREET,MANHATTAN,10019,RENT+INCOME
1010220061,834 8 AVENUE,MANHATTAN,10019,RENT/INCOME/ARTICLE
1010230006,245 WEST 51 STREET,MANHATTAN,10019,RENT
1010230061,260 WEST 52 STREET,MANHATTAN,10019,RENT
1010240001,870 8 AVENUE,MANHATTAN,10019,RENT
1010257501,828 7 AVENUE,MANHATTAN,10019,RENT
1010260026,203 WEST 54 STREET,MANHATTAN,10019,RENT
1010260037,204 WEST 55 STREET,MANHATTAN,10019,RENT
1010267502,230 WEST 55 STREET,MANHATTAN,10019,RENT
1010280017,1752 BROADWAY,MANHATTAN,10019,RENT
1010300029,200 CENTRAL PARK SOUTH,MANHATTAN,10019,RENT
1010300039,210 CENTRAL PARK SOUTH,MANHATTAN,10019,RENT
1010300058,240 CENTRAL PARK SOUTH,MANHATTAN,10019,RENT
1010360010,341 WEST 45 STREET,MANHATTAN,10036,RENT
1010360014,325 WEST 45 STREET,MANHATTAN,10036,RENT
1010360054,352 WEST 46 STREET,MANHATTAN,10036,RENT
